id_calle,orden_carga,nombre_calle,observacion_calle
343,341,"Adano , Domingo",Humberto Beghin
344,342,"Mañas , Nicolas",Humberto Beghin
345,343,"Lopez , Tirso",Humberto Beghin
346,344,"Garat , Jacinto",Humberto Beghin
347,345,"Verdeau , Jorge",Humberto Beghin
348,346,"Barthout , Pedro",Humberto Beghin
349,347,"Almeiro , Sebastian",Humberto Beghin - Acceso Sur
350,348,"Liñeiro , Jose",Humberto Beghin
351,349,"Saavedra Lamas , Carlos",Stella Maris
352,350,"Lopez , Saturnino",Stella Maris
353,351,"Caperochipi , Luis Sebastian",Stella Maris
354,352,"Molina , Eustaquio",Humberto Beghin - Stella Maris
355,353,"Roqueta Prat , Antonio",Humberto Beghin
356,354,"Llames Massini , Alfredo",Humberto Beghin
357,355,Reverendo Augusto Cristanello,Humberto Beghin
358,356,"Ortega , Pedro Pablo",Humberto Beghin
359,357,"Pevet , Juan",Humberto Beghin
360,358,"Garzon , Eleazar Ingeniero",Humberto Beghin
361,359,"Perez , Jose M.",Humberto Beghin
362,360,"Trevisan , Juan de Dios",Humberto Beghin - 30 de Octubre
363,361,"Carbonell , Julian",Humberto Beghin - 30 de Octubre
364,362,"Menendez , Belarmino",Humberto Beghin
365,363,"Paternoster , Fernando",Humberto Beghin
366,364,"Davies , Juan",Humberto Beghin
367,365,"Larrea , Toribio",Humberto Beghin
368,366,"Navarta , Rafael",Humberto Beghin
369,367,"Olascoaga , Manuel",Humberto Beghin
370,368,"Echegaray , Jose",Humberto Beghin
371,370,"Lete , Jose",Humberto Beghin
372,371,Santa Clara,Doctor Quirno Costa - San Isidro Labrador
373,372,"Velaz , Angel",Quirno Costa - San Isidro Labrador
374,373,"Federicci , Doctor",Doctor Quirno Costa
375,374,San Cayetano,Doctor Quirno Costa
376,375,Providencia,Doctor Quirno Costa
377,376,Nuestra Señora de Lourdes,Doctor Quirno Costa
378,377,"De La Torre , Lisandro","Zonas 29 , 30 , 36 Y 37"
379,378,"Concilia , Maria",Doctor Quirno Costa
380,379,Comunidad,Doctor Quirno Costa
381,380,Balcon del Paraiso,Doctor Quirno Costa
382,381,"Minoli , Andres",Doctor Quirno Costa - San Cayetano
383,382,Santa Cecilia,Doctor Quirno Costa
384,383,"Vivaldi , Francisco",Doctor Quirno Costa
385,384,"Houssay , Bernardo Alberto",Doctor Quirno Costa - San Cayetano
386,385,Santa Rosa,Doctor Quirno Costa
387,386,Diaz Velez,Juan Xxiii - Maestro Isidro Quiroga
388,387,La Plata,Juan Xxiii - Maestro Isidro Quiroga
